OrderID,OrderDate,Customer,Region,Segment,Category,Sub-Category,ProductName,Price,Quantity,Discount,Sales,Profit,ShippingMode,State
ORD-104679,11/29/2021,Morgan Smith,East,Corporate,Office Supplies,Writing,Writing - Model 731,1,5,0.05,4.75,12.5,Standard Class,California
ORD-106375,1/29/2020,Chris Smith,South,Consumer,Technology,Phones,Phones - Model 543,138.05,7,0,966.35,363.47,Standard Class,New York
ORD-111203,9/12/2022,Casey Wilson,South,Consumer,Office Supplies,Binders,Binders - Model 728,36.53,6,0,219.18,85.11,Second Class,Illinois
ORD-108700,1/14/2025,Jamie Johnson,West,Home Office,Technology,Phones,Phones - Model 244,168.23,3,0,504.69,228.87,Same Day,Ohio
ORD-107172,11/28/2020,,South,Home Office,Furniture,Tables,Tables - Model 148,91.04,3,0,273.12,90.87,Second Class,Pennsylvania
ORD-105804,11/28/2020,Jordan Jones,Central,Consumer,Technology,Copiers,Copiers - Model 231,169.55,6,0.2,813.84,186.64,Standard Class,North Carolina
ORD-100518,5/12/2028,Chris Jones,West,Home Office,Office Supplies,Paper,Paper - Model 100,1,5,0,5,-1.77,First Class,California
ORD-102325,12/11/2025,Jamie Wilson,North,Home Office,Technology,Accessories,Accessories - Model 939,77.46,6,0.15,395.05,155.86,Same Day,Michigan
ORD-107472,12/3/2023,Taylor Miller,North,Corporate,Furniture,Chairs,Chairs - Model 252,83.13,4,0.05,315.89,111.36,Second Class,Michigan
ORD-110549,5/1/2020,Alex Davis,West,Home Office,Office Supplies,Paper,Paper - Model 545,1,5,0,5,10.85,Standard Class,Florida
ORD-109652,7/19/2020,Casey Brown,West,Home Office,Office Supplies,Storage,Storage - Model 365,13.58,6,0,81.48,4.08,Same Day,Texas
ORD-100218,1/4/2022,Pat Williams,Central,Home Office,Furniture,Furnishings,Furnishings - Model 650,183.3,3,0.05,522.41,186.99,Standard Class,New York
ORD-105579,2/8/2021,Sam Miller,West,Consumer,Office Supplies,Binders,Binders - Model 371,1,,0,9,-13.76,Same Day,Ohio
ORD-109781,12/15/2020,Kim Wilson,Central,Corporate,Technology,Accessories,Accessories - Model 537,81.4,3,0.05,231.99,42.23,Second Class,Georgia
ORD-103328,4/15/2020,Pat Smith,East,Home Office,Technology,Accessories,Accessories - Model 288,161.74,2,0.15,274.96,105.07,Same Day,Illinois
ORD-104601,12/6/2022,Morgan Smith,East,Corporate,Office Supplies,Binders,Binders - Model 783,114.19,7,0,799.33,335.46,Second Class,Georgia
ORD-106380,10/4/2021,Lee Jones,North,Consumer,Furniture,Furnishings,Furnishings - Model 453,1,5,0,5,19.55,Second Class,Ohio
ORD-106529,7/13/2023,Chris Brown,West,Corporate,Office Supplies,Binders,Binders - Model 721,25.67,2,0.15,43.64,19.32,Same Day,Florida
ORD-102390,11/24/2020,Chris Smith,West,Consumer,Furniture,Tables,Tables - Model 799,125.38,5,0,626.9,262.06,Same Day,Illinois
ORD-111860,8/17/2024,Dana Williams,North,Corporate,Furniture,Bookcases,Bookcases - Model 637,180.71,7,0,1264.97,485.59,Second Class,California
ORD-109942,1/9/2020,Chris Williams,Central,Home Office,Technology,Machines,Machines - Model 123,140.43,4,0,561.72,201.77,Second Class,Michigan
ORD-110503,9/24/2020,Kim Rodriguez,East,Consumer,Technology,Accessories,Accessories - Model 785,115.05,3,0.05,327.89,154.86,Same Day,Pennsylvania
ORD-107109,1/11/2021,Sam Garcia,East,Consumer,Office Supplies,Paper,Paper - Model 276,30.99,3,0,92.97,25.45,Same Day,Texas
ORD-105369,5/10/2020,Alex Davis,South,Home Office,Furniture,Furnishings,Furnishings - Model 753,199.12,3,0,597.36,263.63,First Class,Ohio
